"year","sex","new_cones","new_cones_log"
2008,"F",2286.19587887955,7.73508183918746
2008,"M",4871.65027462917,8.49139327228718
2009,"F",522.562486354927,6.26065638585205
2009,"M",8555.65853481533,9.04721874395998
2010,"F",6496.08547807637,8.68280918615993
2010,"M",32613.7078224643,10.3771921544897
2011,"F",0,0
2011,"M",0,0
2012,"F",412.661285018409,6.02504748682675
2012,"M",1049.22649645204,6.95676113079602
2013,"F",8260.59971645787,9.01917377784734
2013,"M",14817.1472177311,9.60360787198806
2014,"F",11833.7686608346,9.37879697472151
2014,"M",31040.3316808688,10.3430748754667
2015,"F",0,0
2015,"M",0,0
2016,"F",0,0
2016,"M",0,0
2017,"F",616.782995193059,6.42611444741031
2017,"M",2603.59491166254,7.86503243793519
2018,"F",0,0
2018,"M",0,0
2019,"F",6187.73761371115,8.73020111750775
2019,"M",13677.9271817231,9.52326327755526
2020,"F",112.273758288448,4.7282854467479
2020,"M",284.510484690726,5.65427875238227
2021,"F",0,0
2021,"M",0,0
2022,"F",11011.8222120696,9.30681552857414
2022,"M",20135.5145144082,9.91029008845574
2023,"F",0,0
2023,"M",26.021768316453,3.29448652028224
2024,"F",549.778714378214,6.31133312118804
2024,"M",2277.6546738526,7.73134049246953
